id,titulo,metragem_total_m2,area_locavel_m2,preco_locacao_m2,condominio_m2,iptu_m2_mensal,valor_total_mensal_original,pe_direito_m,endereco_completo,cidade,estado,url,custo_locacao_total_mensal,custo_acessorio_total_mensal,valor_total_mensal_final,categoria_tamanho
51,Urdi Castello Branco - Galpão para Alugar,13148,13148,25,4.2,0.2,328700,,"Avenida Benedito Crispim de Oliveira, 580 - Santana de Parnaíba, SP",Santana de Parnaíba,SP,https://webindustrial.com.br/alugar/imovel/galpao-13148m2-para-locacao-santana-de-parnaiba/692453,328700,57851.2,386551.2,Grande
49,Urdi Castello Branco - Galpão para Alugar,8183,8183,25,4.2,0.2,204577,,"Avenida Benedito Crispim de Oliveira, 580 - Santana de Parnaíba, SP",Santana de Parnaíba,SP,https://webindustrial.com.br/alugar/imovel/galpao-8183m2-para-locacao-santana-de-parnaiba/692451,204575,36005.2,240580.2,Grande
114,Mbigucci Business Park Santo André - Galpão para Alugar,2186,2186,35.01,3.75,5.5,76521.2,,"Rua Ângelo Franchini, 299 - Santo André, SP",Santo André,SP,https://webindustrial.com.br/alugar/imovel/galpao-2186m2-para-locacao-santo-andre/692474,76531.86,20220.5,96752.36,Médio
115,Mbigucci Business Park Santo André - Galpão para Alugar,6558,6558,35.01,3.75,5.5,229563.59,,"Rua Ângelo Franchini, 299 - Santo André, SP",Santo André,SP,https://webindustrial.com.br/alugar/imovel/galpao-6558m2-para-locacao-santo-andre/692475,229595.58,60661.5,290257.08,Grande
121,Mbigucci Business Park Santo André - Galpão para Alugar,4372,4372,35.01,3.75,5.5,153042.41,,"Rua Ângelo Franchini, 299 - Santo André, SP",Santo André,SP,https://webindustrial.com.br/alugar/imovel/galpao-4372m2-para-locacao-santo-andre/692699,153063.72,40441,193504.72,Médio
111,Mbigucci Business Park Santo André - Galpão para Alugar,1192,1192,35,3.75,5.5,41720,,"Rua Ângelo Franchini, 299, Santo André, SP",Santo André,SP,https://webindustrial.com.br/alugar/imovel/galpao-1192m2-para-locacao-santo-andre/692471,41720,11026,52746,Médio
112,Mbigucci Business Park Santo André - Galpão para Alugar,2384,2384,35,3.75,5.5,83440,,"Rua Ângelo Franchini, 299 - Santo André, SP",Santo André,SP,https://webindustrial.com.br/alugar/imovel/galpao-2384m2-para-locacao-santo-andre/692472,83440,22052,105492,Médio
113,Mbigucci Business Park Santo André - Galpão para Alugar,3576,3576,35,3.75,5.5,125160,,"Rua Ângelo Franchini, 299 - Santo André, SP",Santo André,SP,https://webindustrial.com.br/alugar/imovel/galpao-3576m2-para-locacao-santo-andre/692473,125160,33078,158238,Médio
13,Braslog Sorocaba - Galpão para Alugar,3666,3666,24,4.5,1.22,87999.84,,"Avenida Antonio Bardela, 2650 - Sorocaba, SP",Sorocaba,SP,https://webindustrial.com.br/alugar/imovel/galpao-3666m2-para-locacao-sorocaba/692476,87984,20969.52,108953.52,Médio
110,CL Imigrantes 3 - Galpão para Alugar,43416,43416,34,5,3,1476168.12,,"Estrada Marco Polo, 4646 - São Bernardo do Campo, SP",São Bernardo do Campo,SP,https://webindustrial.com.br/alugar/imovel/galpao-43416m2-para-locacao-sao-bernardo-do-campo/692422,1476144,347328,1823472,Grande
108,CL Imigrantes 3 - Galpão para Alugar,13021,13021,34,5,3,442741.19,,"Estrada Marco Polo, 4646 - São Bernardo do Campo, SP",São Bernardo do Campo,SP,https://webindustrial.com.br/alugar/imovel/galpao-13021m2-para-locacao-sao-bernardo-do-campo/692420,442714,104168,546882,Grande
109,CL Imigrantes 3 - Galpão para Alugar,30394,30394,34,5,3,1033426.62,,"Estrada Marco Polo, 4646 - São Bernardo do Campo, SP",São Bernardo do Campo,SP,https://webindustrial.com.br/alugar/imovel/galpao-30394m2-para-locacao-sao-bernardo-do-campo/692421,1033396,243152,1276548,Grande
95,CL Imigrantes 4 - Galpão para Alugar,34430,34430,34,5,3,1170643.75,,"Avenida Montemor, 513 - São Bernardo do Campo, SP",São Bernardo do Campo,SP,https://webindustrial.com.br/alugar/imovel/galpao-34430m2-para-locacao-sao-bernardo-do-campo/692424,1170620,275440,1446060,Grande
94,CL Imigrantes 4 - Galpão para Alugar,29475,29475,34,5,3,1002180.62,,"Avenida Montemor, 513, São Bernardo do Campo, SP",São Bernardo do Campo,SP,https://webindustrial.com.br/alugar/imovel/galpao-29475m2-para-locacao-sao-bernardo-do-campo/692423,1002150,235800,1237950,Grande
96,CL Imigrantes 4 - Galpão para Alugar,63906,63906,34,5,3,2172823.5,,"Avenida Montemor, 513 - São Bernardo do Campo, SP",São Bernardo do Campo,SP,https://webindustrial.com.br/alugar/imovel/galpao-63906m2-para-locacao-sao-bernardo-do-campo/692425,2172804,511248,2684052,Grande
53,GLP Imigrantes - Galpão para Alugar,7376,7376,34,2.7,2.55,250816.3,,"Rua dos Imigrantes, 0 - São Bernardo do Campo, SP",São Bernardo do Campo,SP,https://webindustrial.com.br/alugar/imovel/galpao-7376m2-para-locacao-sao-bernardo-do-campo/692675,250784,38724,289508,Grande
141,Vila Alves Dias - Galpão para Alugar,3252.98,3252.98,23055.78,7,1.5,75000000,,"Estrada Samuel Aizemberg, 1150 - São Bernardo do Campo",São Bernardo do Campo,SP,"https://webindustrial.com.br/alugar/imovel/galpao-3252,98m2-para-locacao-sao-bernardo-do-campo/693757",74999991.22,27650.33,75027641.55,Médio
67,LOG São José do Rio Preto - Galpão para Alugar,4672,4672,25.01,4.4,0.6,116824.5,,"Avenida Percy Gandini, 5305 - São José do Rio Preto, SP",São José do Rio Preto,SP,https://webindustrial.com.br/alugar/imovel/galpao-4672m2-para-locacao-sao-jose-do-rio-preto/692270,116846.72,23360,140206.72,Médio
69,LOG São José do Rio Preto - Galpão para Alugar,3557,3557,25,4.4,0.6,88929.25,,"Avenida Percy Gandini, 5305 - São José do Rio Preto, SP",São José do Rio Preto,SP,https://webindustrial.com.br/alugar/imovel/galpao-3557m2-para-locacao-sao-jose-do-rio-preto/692382,88925,17785,106710,Médio
68,LOG São José do Rio Preto - Galpão para Alugar,4231,4231,25,4.4,0.6,105776,,"Avenida Percy Gandini, 5305 - São José do Rio Preto, SP",São José do Rio Preto,SP,https://webindustrial.com.br/alugar/imovel/galpao-4231m2-para-locacao-sao-jose-do-rio-preto/692271,105775,21155,126930,Médio
93,CL SP Dutra - Centro Logístico Dutra - Galpão para Alugar,18822,18822,42,3.87,1.1,790549.19,,"Rua Cabo Norberto Enrique Weber, 222, São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-18822m2-para-locacao-sao-paulo/692413,790524,93545.34,884069.34,Grande
56,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,4424,4424,45,6,3,199080,,"Rua Mateo Forte, 216 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-4424m2-para-locacao-sao-paulo/692732,199080,39816,238896,Médio
55,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,2207,2207,45,6,3,99315,,"Rua Mateo Forte, 216 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-2207m2-para-locacao-sao-paulo/692731,99315,19863,119178,Médio
57,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,5926,5926,45,6,3,266670,,"Rua Mateo Forte, 216 - São Paulo",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-5926m2-para-locacao-sao-paulo/692733,266670,53334,320004,Grande
59,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,21970,21970,45,6,3,988650,,"Rua Mateo Forte, 216 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-21970m2-para-locacao-sao-paulo/692735,988650,197730,1186380,Grande
54,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,1502,1502,45,6,3,67590,,"Rua Mateo Forte, 216 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-1502m2-para-locacao-sao-paulo/692730,67590,13518,81108,Médio
58,GS Espaço Empresarial Park Lapa IV - Galpão para Alugar,2241,2241,45,6,3,100845,,"Rua Mateo Forte, 216 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-2241m2-para-locacao-sao-paulo/692734,100845,20169,121014,Médio
63,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,5609,5609,43,8,3,241187,,"Avenida Raimundo Pereira de Magalhães, 136 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-5609m2-para-locacao-sao-paulo/692739,241187,61699,302886,Grande
64,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,4336,4336,43,8,3,186448,,"Avenida Raimundo Pereira de Magalhães, 136 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-4336m2-para-locacao-sao-paulo/692740,186448,47696,234144,Médio
62,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,3052,3052,43,8,3,131236,,"Avenida Raimundo Pereira de Magalhães, 136, São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-3052m2-para-locacao-sao-paulo/692738,131236,33572,164808,Médio
61,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,2557,2557,43,8,3,109951,,"Avenida Raimundo Pereira de Magalhães, 136 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-2557m2-para-locacao-sao-paulo/692737,109951,28127,138078,Médio
65,GS Espaço Empresarial Park Maginal Lapa II - Galpão para Alugar,1640,1640,43,8,3,70520,,"Avenida Raimundo Pereira de Magalhães, 136 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-1640m2-para-locacao-sao-paulo/692741,70520,18040,88560,Médio
60,GS Espaço Empresarial Park Maginal Lapa III - Galpão para Alugar,3409,3409,43.01,6,3.25,146626.56,,"Rua Campos Vergueiro, 131 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-3409m2-para-locacao-sao-paulo/692736,146621.09,31533.25,178154.34,Médio
38,GS Espaço Empresarial Park Vila Anastácio - Galpão para Alugar,1856,1856,47,6,3,87232,,"Rua João Tibiriçá, 958 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-1856m2-para-locacao-sao-paulo/692729,87232,16704,103936,Médio
37,GS Espaço Empresarial Park Vila Anastácio - Galpão para Alugar,2952,2952,47,6,3,138744,,"Rua João Tibiriçá, 958 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-2952m2-para-locacao-sao-paulo/692728,138744,26568,165312,Médio
36,GS Espaço Empresarial Park Vila Anastácio - Galpão para Alugar,1476,1476,47,6,3,69372,,"Rua João Tibiriçá, 958 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-1476m2-para-locacao-sao-paulo/692727,69372,13284,82656,Médio
117,Goodman Jaguaré - Galpão para Alugar,14964,14964,45,7,1.5,673386.75,,"Avenida Engenheiro Billings, 2227 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-14964m2-para-locacao-sao-paulo/692478,673380,127194,800574,Grande
116,Goodman Jaguaré - Galpão para Alugar,7027,7027,45,7,1.5,316226.69,,"Avenida Engenheiro Billings, 2227 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-7027m2-para-locacao-sao-paulo/692477,316215,59729.5,375944.5,Grande
9,Itaquera - Galpão para Alugar,24697,24697,32.09,7,1.5,792449,1200,"Rua Tomoichi Shimizu, 370 - Itaquera, São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-24697m2-para-locacao-sao-paulo-itaquera/692044,792526.73,209924.5,1002451.23,Grande
140,Jardim Miriam - Galpão para Alugar,245,245,26.53,7,1.5,6500,,"Rua Giuseppe Boschi, 244 - Jardim Miriam, São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-245m2-para-locacao-sao-paulo/693747,6499.85,2082.5,8582.35,Pequeno
143,Jardim Regina Alice - Galpão para Alugar,2000,2000,26,7,1.52,52000,,Jardim Regina Alice - São Paulo - SP,São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-2000m2-para-locacao-barueri/1000697,52000,17040,69040,Médio
137,Parque Industrial San José - Galpão em Condomínio para Alugar,1250,1250,28,1.19,1.16,35000,1200,"Rua Santa Clara, 515, 541 - São Paulo, SP",São Paulo,SP,https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-1250m2-para-locacao-sao-paulo-parque-industrial-san-jose/1000593,35000,2937.5,37937.5,Médio
82,GLP Taboão - Galpão para Alugar,31940,31940,36,3.9,1,1149865.25,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-31940m2-para-locacao-taboao-da-serra/692686,1149840,156506,1306346,Grande
89,GLP Taboão - Galpão para Alugar,3229,3229,36.01,3.9,1,116269.2,,"Avenida Marechal Castelo Branco, 565, Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-3229m2-para-locacao-taboao-da-serra/692693,116276.29,15822.1,132098.39,Médio
75,GLP Taboão - Galpão para Alugar,10976,10976,36,3.9,1,395163.38,,"Avenida Marechal Castelo Branco, 565, Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-10976m2-para-locacao-taboao-da-serra/692679,395136,53782.4,448918.4,Grande
88,GLP Taboão - Galpão para Alugar,29312,29312,82.85,3.9,1,2428401.5,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-29312m2-para-locacao-taboao-da-serra/692692,2428499.2,143628.8,2572128,Grande
81,GLP Taboão - Galpão para Alugar,18891,18891,36,3.9,1,680094,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-18891m2-para-locacao-taboao-da-serra/692685,680076,92565.9,772641.9,Grande
79,GLP Taboão - Galpão para Alugar,12812,12812,36,3.9,1,461244.97,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-12812m2-para-locacao-taboao-da-serra/692683,461232,62778.8,524010.8,Grande
78,GLP Taboão - Galpão para Alugar,43435,43435,36,3.9,1,1563685.5,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-43435m2-para-locacao-taboao-da-serra/692682,1563660,212831.5,1776491.5,Grande
87,GLP Taboão - Galpão para Alugar,9780,9780,36,3.9,1,352088.62,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-9780m2-para-locacao-taboao-da-serra/692691,352080,47922,400002,Grande
80,GLP Taboão - Galpão para Alugar,9682,9682,36,3.9,1,348573.25,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-9682m2-para-locacao-taboao-da-serra/692684,348552,47441.8,395993.8,Grande
86,GLP Taboão - Galpão para Alugar,4890,4890,36,3.9,1.5,176044.31,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-4890m2-para-locacao-taboao-da-serra/692690,176040,26406,202446,Médio
76,GLP Taboão - Galpão para Alugar,21953,21953,36,3.9,1,790326.75,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-21953m2-para-locacao-taboao-da-serra/692680,790308,107569.7,897877.7,Grande
77,GLP Taboão - Galpão para Alugar,32930,32930,36,3.9,1,1185490.12,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-32930m2-para-locacao-taboao-da-serra/692681,1185480,161357,1346837,Grande
85,GLP Taboão - Galpão para Alugar,14877,14877,36,3.9,1,535606.56,,"Avenida Marechal Castelo Branco, 565, Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-14877m2-para-locacao-taboao-da-serra/692689,535572,72897.3,608469.3,Grande
83,GLP Taboão - Galpão para Alugar,8278,8278,36,3.9,1,298037.53,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-8278m2-para-locacao-taboao-da-serra/692687,298008,40562.2,338570.2,Grande
84,GLP Taboão - Galpão para Alugar,7438,7438,36,3.9,1,267803.28,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-7438m2-para-locacao-taboao-da-serra/692688,267768,36446.2,304214.2,Grande
90,GLP Taboão - Galpão para Alugar,6695,6695,36,3.9,1,241043.05,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra, SP",Taboão da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-6695m2-para-locacao-taboao-da-serra/692694,241020,32805.5,273825.5,Grande
136,Tamboré - Galpão para Alugar,800,800,43.75,7,0.48,35000,,"Tamboré, SP",Tamboré,SP,https://webindustrial.com.br/alugar/imovel/galpao-800m2-para-locacao-barueri/693793,35000,5984,40984,Pequeno
151,Vila Maria - Galpão em Condomínio para Alugar,8615,8615,45,7,3.84,387675,6.9,Avenida Morvan Dias de Figueiredo - Vila Guilherme - SP,Vila Guilherme,SP,https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-8615m2-para-locacao-sao-paulo/692045,387675,93386.6,481061.6,Grande
